EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-48,Cold,Severe,2/4/2016 13:25,2/4/2016 14:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-49,Storm,Severe,2/14/2016 18:56,2/14/2016 20:16,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-50,Storm,Severe,2/14/2016 20:36,2/14/2016 21:56,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-51,Cold,Severe,2/16/2016 18:36,2/16/2016 19:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-52,Rain,Light,2/19/2016 4:34,2/19/2016 5:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-53,Snow,Light,2/23/2016 3:54,2/23/2016 5:34,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-54,Snow,Moderate,2/23/2016 5:34,2/23/2016 6:14,0.07,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-55,Snow,Light,2/23/2016 6:14,2/23/2016 7:14,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-56,Snow,Light,3/15/2016 6:14,3/15/2016 8:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-57,Snow,Light,3/15/2016 9:14,3/15/2016 9:33,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-58,Snow,Light,3/15/2016 12:34,3/15/2016 13:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-59,Snow,Light,3/15/2016 14:54,3/15/2016 15:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-60,Snow,Light,3/16/2016 7:54,3/16/2016 8:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-61,Snow,Light,3/16/2016 9:34,3/16/2016 11:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-62,Storm,Severe,3/18/2016 20:54,3/18/2016 21:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-63,Storm,Severe,3/18/2016 22:34,3/18/2016 22:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-64,Storm,Severe,3/18/2016 23:14,3/18/2016 23:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-65,Storm,Severe,3/19/2016 0:14,3/19/2016 0:34,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-66,Storm,Severe,3/19/2016 0:54,3/19/2016 1:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-67,Storm,Severe,3/22/2016 18:34,3/22/2016 18:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-68,Snow,Light,3/23/2016 5:54,3/23/2016 6:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-69,Snow,Light,3/23/2016 6:34,3/23/2016 6:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-70,Snow,Light,3/23/2016 7:34,3/23/2016 7:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-71,Storm,Severe,3/23/2016 13:14,3/23/2016 14:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-72,Storm,Severe,3/23/2016 14:54,3/23/2016 15:34,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-73,Storm,Severe,3/23/2016 15:54,3/23/2016 16:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-74,Snow,Light,3/26/2016 13:24,3/26/2016 15:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-75,Snow,Light,3/26/2016 16:54,3/26/2016 18:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-76,Snow,Light,3/26/2016 18:34,3/26/2016 19:14,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-77,Snow,Light,3/26/2016 19:34,3/26/2016 23:54,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-78,Snow,Light,3/27/2016 4:34,3/27/2016 5:54,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-79,Snow,Light,3/27/2016 11:14,3/27/2016 11:34,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-80,Snow,Light,3/31/2016 10:34,3/31/2016 10:54,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-81,Fog,Moderate,3/31/2016 22:14,3/31/2016 22:34,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-82,Snow,Light,4/1/2016 0:54,4/1/2016 1:34,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-83,Rain,Light,4/9/2016 20:55,4/9/2016 21:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-84,Rain,Light,4/9/2016 22:55,4/10/2016 0:15,0.06,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-85,Rain,Light,4/11/2016 6:15,4/11/2016 6:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-86,Rain,Light,4/11/2016 21:55,4/11/2016 22:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-87,Rain,Light,4/12/2016 3:55,4/12/2016 4:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-88,Rain,Light,4/12/2016 23:15,4/12/2016 23:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-89,Rain,Light,4/12/2016 23:55,4/13/2016 0:55,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-90,Rain,Light,4/13/2016 2:35,4/13/2016 2:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-91,Rain,Light,4/15/2016 21:55,4/15/2016 22:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-92,Rain,Light,4/15/2016 22:55,4/15/2016 23:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-93,Fog,Severe,4/15/2016 23:35,4/15/2016 23:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-94,Fog,Moderate,4/15/2016 23:55,4/16/2016 0:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-95,Rain,Light,4/16/2016 0:55,4/16/2016 1:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-96,Rain,Light,4/16/2016 1:55,4/16/2016 2:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-97,Rain,Light,4/16/2016 4:15,4/16/2016 5:15,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-98,Snow,Moderate,4/16/2016 5:15,4/16/2016 5:35,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-99,Rain,Light,4/16/2016 6:55,4/16/2016 7:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-100,Rain,Light,4/16/2016 9:15,4/16/2016 9:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-101,Snow,Light,4/16/2016 9:35,4/16/2016 10:15,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-102,Snow,Moderate,4/16/2016 10:15,4/16/2016 10:35,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-103,Snow,Heavy,4/16/2016 10:35,4/16/2016 11:15,0.19,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-104,Snow,Light,4/16/2016 11:15,4/16/2016 14:35,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-105,Rain,Light,4/16/2016 15:15,4/16/2016 15:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-106,Snow,Light,4/16/2016 15:55,4/16/2016 16:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-107,Rain,Light,4/16/2016 17:35,4/16/2016 17:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-108,Snow,Light,4/16/2016 17:55,4/16/2016 18:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-109,Snow,Light,4/16/2016 18:35,4/16/2016 18:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-110,Snow,Light,4/16/2016 21:35,4/16/2016 21:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-111,Snow,Light,4/16/2016 22:55,4/16/2016 23:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-112,Snow,Light,4/17/2016 0:15,4/17/2016 0:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-113,Snow,Light,4/17/2016 1:35,4/17/2016 1:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-114,Snow,Light,4/18/2016 5:15,4/18/2016 9:35,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-115,Snow,Light,4/18/2016 9:55,4/18/2016 10:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-116,Snow,Light,4/18/2016 16:55,4/18/2016 17:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-117,Snow,Light,4/19/2016 1:55,4/19/2016 2:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-118,Rain,Light,4/19/2016 2:15,4/19/2016 2:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-119,Snow,Light,4/19/2016 2:35,4/19/2016 6:15,0.09,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-120,Snow,Light,4/19/2016 8:15,4/19/2016 8:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-121,Snow,Light,4/19/2016 14:15,4/19/2016 14:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-122,Snow,Light,4/20/2016 12:55,4/20/2016 14:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-123,Rain,Light,4/20/2016 15:15,4/20/2016 16:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-124,Rain,Light,4/20/2016 19:55,4/20/2016 20:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-125,Rain,Light,4/24/2016 2:35,4/24/2016 3:15,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-126,Rain,Light,4/26/2016 1:55,4/26/2016 2:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-127,Snow,Light,4/26/2016 21:55,4/26/2016 22:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-128,Snow,Light,4/26/2016 23:55,4/27/2016 1:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-129,Snow,Light,4/27/2016 2:15,4/27/2016 2:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-130,Rain,Light,4/28/2016 7:35,4/28/2016 7:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-131,Rain,Light,4/28/2016 12:15,4/28/2016 14:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-132,Rain,Light,4/28/2016 19:35,4/28/2016 19:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-133,Rain,Light,4/28/2016 21:35,4/28/2016 21:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-134,Rain,Light,4/29/2016 2:15,4/29/2016 3:15,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-135,Snow,Heavy,4/29/2016 3:15,4/29/2016 3:55,0.19,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-136,Rain,Moderate,4/29/2016 3:55,4/29/2016 4:15,0.12,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-137,Rain,Light,4/29/2016 4:35,4/29/2016 6:15,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-138,Snow,Light,4/29/2016 6:15,4/29/2016 6:35,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-139,Snow,Moderate,4/29/2016 6:35,4/29/2016 6:55,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-140,Rain,Light,4/29/2016 6:55,4/29/2016 7:35,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-141,Rain,Light,4/29/2016 8:15,4/29/2016 8:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-142,Rain,Light,4/29/2016 9:15,4/29/2016 9:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-143,Rain,Light,4/29/2016 10:15,4/29/2016 10:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-144,Rain,Light,4/29/2016 11:35,4/29/2016 12:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-145,Snow,Light,4/29/2016 12:15,4/29/2016 12:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-146,Rain,Light,4/29/2016 12:35,4/29/2016 12:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-147,Snow,Light,4/29/2016 12:55,4/29/2016 16:15,0.07,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-148,Snow,Moderate,4/29/2016 16:15,4/29/2016 16:55,0.08,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-149,Snow,Heavy,4/29/2016 16:55,4/29/2016 17:15,0.08,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-150,Snow,Light,4/29/2016 17:15,4/29/2016 17:35,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-151,Snow,Moderate,4/29/2016 17:35,4/29/2016 18:15,0.09,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-152,Snow,Light,4/29/2016 18:15,4/29/2016 20:35,0.05,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-153,Rain,Light,4/29/2016 20:55,4/29/2016 21:15,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-154,Rain,Light,4/29/2016 21:35,4/29/2016 22:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-155,Snow,Light,4/29/2016 22:15,4/29/2016 23:55,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-156,Rain,Light,4/29/2016 23:55,4/30/2016 0:15,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-157,Snow,Light,4/30/2016 0:15,4/30/2016 1:35,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-158,Snow,Moderate,4/30/2016 1:35,4/30/2016 2:15,0.08,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-159,Snow,Light,4/30/2016 2:15,4/30/2016 3:55,0.03,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-160,Snow,Light,4/30/2016 4:15,4/30/2016 4:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-161,Snow,Light,4/30/2016 5:55,4/30/2016 6:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-162,Snow,Light,4/30/2016 6:35,4/30/2016 6:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-163,Snow,Light,4/30/2016 7:35,4/30/2016 7:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-164,Snow,Light,4/30/2016 8:55,4/30/2016 9:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-165,Fog,Severe,4/30/2016 11:35,4/30/2016 11:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-166,Rain,Light,4/30/2016 15:15,4/30/2016 15:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-167,Snow,Light,4/30/2016 15:55,4/30/2016 16:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-168,Rain,Light,4/30/2016 21:55,4/30/2016 22:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-169,Snow,Light,5/1/2016 15:35,5/1/2016 16:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-170,Rain,Light,5/2/2016 3:55,5/2/2016 5:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-171,Snow,Light,5/2/2016 10:15,5/2/2016 11:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-172,Rain,Light,5/6/2016 12:35,5/6/2016 12:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-173,Rain,Light,5/6/2016 15:35,5/6/2016 15:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-174,Rain,Light,5/7/2016 23:35,5/7/2016 23:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-175,Rain,Light,5/8/2016 19:55,5/8/2016 20:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-176,Rain,Light,5/8/2016 20:55,5/8/2016 21:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-177,Rain,Light,5/8/2016 23:55,5/9/2016 1:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-178,Rain,Light,5/9/2016 11:15,5/9/2016 12:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-179,Rain,Light,5/9/2016 12:55,5/9/2016 13:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-180,Snow,Light,5/9/2016 13:15,5/9/2016 14:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-181,Rain,Light,5/9/2016 14:15,5/9/2016 15:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-182,Rain,Light,5/9/2016 15:55,5/9/2016 16:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-183,Rain,Light,5/9/2016 16:35,5/9/2016 16:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-184,Rain,Light,5/10/2016 16:15,5/10/2016 16:55,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-185,Rain,Light,5/10/2016 19:55,5/10/2016 20:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-186,Rain,Light,5/10/2016 20:55,5/10/2016 21:15,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-187,Rain,Light,5/10/2016 22:15,5/10/2016 22:35,0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
